"","grp","subj","sent","seg","item","acc","rt","segtype","contr"
"257","EC",24007,"SS","c",18,1,"114","other","SOSS"
"258","EC",24007,"SS","d",18,1,"125","other","SOSS"
"259","EC",24007,"SS","c",19,1,"71","other","SOSS"
"260","EC",24007,"SS","d",19,1,"45","other","SOSS"
"261","EC",24007,"SS","c",20,1,"183","other","SOSS"
"262","EC",24007,"SS","d",20,1,"67","other","SOSS"
"263","EC",24008,"SO","c",11,1,"1031","other","SOSS"
"264","EC",24008,"SO","d",11,1,"869","other","SOSS"
"265","EC",24008,"SO","c",12,1,"525","other","SOSS"
"266","EC",24008,"SO","d",12,1,"459","other","SOSS"
"267","EC",24008,"SO","c",13,1,"1877","other","SOSS"
"268","EC",24008,"SO","d",13,1,"2205","other","SOSS"
"269","EC",24008,"SO","c",14,1,"469","other","SOSS"
"270","EC",24008,"SO","d",14,1,"613","other","SOSS"
"271","EC",24008,"SO","c",15,1,"794","other","SOSS"
"272","EC",24008,"SO","d",15,1,"1078","other","SOSS"
"273","EC",24008,"SO","c",16,1,"1351","other","SOSS"
"274","EC",24008,"SO","d",16,1,"1417","other","SOSS"
"275","EC",24008,"SO","c",17,1,"1392","other","SOSS"
"276","EC",24008,"SO","d",17,1,"801","other","SOSS"
"277","EC",24008,"SO","c",18,1,"453","other","SOSS"
"278","EC",24008,"SO","d",18,1,"727","other","SOSS"
"279","EC",24008,"SO","c",19,1,"1021","other","SOSS"
"280","EC",24008,"SO","d",19,1,"829","other","SOSS"
"281","EC",24008,"SO","c",20,1,"757","other","SOSS"
"282","EC",24008,"SO","d",20,1,"491","other","SOSS"
"283","EC",24008,"SS","c",11,1,"517","other","SOSS"
"284","EC",24008,"SS","d",11,1,"553","other","SOSS"
"285","EC",24008,"SS","c",12,1,"365","other","SOSS"
"286","EC",24008,"SS","d",12,1,"561","other","SOSS"
"287","EC",24008,"SS","c",13,1,"800","other","SOSS"
"288","EC",24008,"SS","d",13,1,"683","other","SOSS"
"289","EC",24008,"SS","c",14,1,"319","other","SOSS"
"290","EC",24008,"SS","d",14,1,"445","other","SOSS"
"291","EC",24008,"SS","c",15,1,"443","other","SOSS"
"292","EC",24008,"SS","d",15,1,"443","other","SOSS"
"293","EC",24008,"SS","c",16,1,"530","other","SOSS"
"294","EC",24008,"SS","d",16,1,"626","other","SOSS"
"295","EC",24008,"SS","c",17,1,"713","other","SOSS"
"296","EC",24008,"SS","d",17,1,"769","other","SOSS"
"297","EC",24008,"SS","c",18,1,"387","other","SOSS"
"298","EC",24008,"SS","d",18,1,"1141","other","SOSS"
"299","EC",24008,"SS","c",19,1,"663","other","SOSS"
"300","EC",24008,"SS","d",19,1,"949","other","SOSS"
"301","EC",24008,"SS","c",20,1,"415","other","SOSS"
"302","EC",24008,"SS","d",20,1,"435","other","SOSS"
"303","EC",24009,"SO","c",11,1,"1847","other","SOSS"
"304","EC",24009,"SO","d",11,1,"4198","other","SOSS"
"305","EC",24009,"SO","c",12,1,"804","other","SOSS"
"306","EC",24009,"SO","d",12,1,"1075","other","SOSS"
"307","EC",24009,"SO","c",13,0,"2301","other","SOSS"
"308","EC",24009,"SO","d",13,0,"3269","other","SOSS"
"309","EC",24009,"SO","c",14,1,"853","other","SOSS"
"310","EC",24009,"SO","d",14,1,"1125","other","SOSS"
"311","EC",24009,"SO","c",15,1,"3538","other","SOSS"
"312","EC",24009,"SO","d",15,1,"4038","other","SOSS"
"313","EC",24009,"SO","c",16,1,"943","other","SOSS"
"314","EC",24009,"SO","d",16,1,"1224","other","SOSS"
"315","EC",24009,"SO","c",17,1,"3481","other","SOSS"
"316","EC",24009,"SO","d",17,1,"3417","other","SOSS"
"317","EC",24009,"SO","c",18,0,"860","other","SOSS"
"318","EC",24009,"SO","d",18,0,"1119","other","SOSS"
"319","EC",24009,"SO","c",19,1,"1909","other","SOSS"
"320","EC",24009,"SO","d",19,1,"1845","other","SOSS"
"321","EC",24009,"SO","c",20,1,"485","other","SOSS"
"322","EC",24009,"SO","d",20,1,"747","other","SOSS"
"323","EC",24009,"SS","c",11,0,"2020","other","SOSS"
"324","EC",24009,"SS","d",11,0,"2664","other","SOSS"
"325","EC",24009,"SS","c",12,1,"373","other","SOSS"
"326","EC",24009,"SS","d",12,1,"697","other","SOSS"
"327","EC",24009,"SS","c",13,1,"2593","other","SOSS"
"328","EC",24009,"SS","d",13,1,"3396","other","SOSS"
"329","EC",24009,"SS","c",14,0,"1231","other","SOSS"
"330","EC",24009,"SS","d",14,0,"1613","other","SOSS"
"331","EC",24009,"SS","c",15,1,"1019","other","SOSS"
"332","EC",24009,"SS","d",15,1,"2395","other","SOSS"
"333","EC",24009,"SS","c",16,1,"571","other","SOSS"
"334","EC",24009,"SS","d",16,1,"713","other","SOSS"
"335","EC",24009,"SS","c",17,1,"1697","other","SOSS"
"336","EC",24009,"SS","d",17,1,"2473","other","SOSS"
"337","EC",24009,"SS","c",18,1,"1211","other","SOSS"
"338","EC",24009,"SS","d",18,1,"901","other","SOSS"
"339","EC",24009,"SS","c",19,1,"943","other","SOSS"
"340","EC",24009,"SS","d",19,1,"1373","other","SOSS"
"341","EC",24009,"SS","c",20,0,"1007","other","SOSS"
"342","EC",24009,"SS","d",20,0,"714","other","SOSS"
"343","EC",24010,"SO","c",11,1,"263","other","SOSS"
"344","EC",24010,"SO","d",11,1,"230","other","SOSS"
"345","EC",24010,"SO","c",12,1,"92","other","SOSS"
